PR,RH
1.44,1836.67
0.03,1062.62
31.68,1482.2
67.72,1656.78
155.12,2211.19
363.36,2544.81
246.71,2676
98.32,2604.48
208.57,2565.03
253.66,2734.78
119.23,2533.18
23.54,2450.3
16.21,1867.91
6.4,1517.78
16.35,1625.23
30.99,1563.97
229.11,2335.64
133.3,2403.33
292.88,2609.63
74.78,2506.68
59.43,2327.13
228.82,2438.73
127.8,2565.57
7.79,2411.27
0.16,1915.85
0.03,1304.96
4.81,1475.36
2.64,1585.02
26.43,1826.51
840.91,2669.46
243.26,2735.9
229.72,2719.32
58.7,2526.45
246.94,2719.61
118.45,2583.45
17.86,2522.06
7.25,2047.6
0.16,1528.04
0,1139.06
29.41,1497.04
132.7,2168.02
409.94,2535.01
223.4,2692.47
153.89,2673.56
209.16,2613.92
240.79,2688.44
249.63,2659.5
21,2626.74
0,2201.45
31.52,1639.7
16.36,1663.69
54.91,1612.67
132.38,2158.25
336.86,2541.79
298.21,2681.37
61.17,2605.02
41.09,2428.02
401.61,2731.05
314.17,2678.26
132.79,2703.7
103.51,2599.8
36.82,2150.55
6.04,1754.86
132.61,2149.93
165.02,2288.27
261.1,2540.5
312.51,2648.08
246.52,2714.41
129.13,2571.35
423.56,2757.8
124.75,2633.76
12.01,2491.38
26.1,2214.57
0.12,1612.84
53.08,1641.64
63.12,1918.04
233.81,2440.22
216.67,2499.07
189.93,2618.86
163.75,2597.62
118.55,2489.39
168.13,2615.61
186.47,2590
1.46,2325.64
14.39,1979.98
10.83,1573.9
2.31,1342.04
135.65,2083.14
22.57,2042.4
313.04,2444.74
309.53,2676.73
169.77,2687.92
194.42,2610.81
239.91,2710.28
63.18,2531.04
157.57,2622.19
2.6,2293.73
0.97,1537.37
28.1,1553.96
78.57,1888.1
73.37,2175.2
366.38,2299.14
361.19,2721.88
229.37,2696.04
293,2617.9
183.12,2697.34
309.9,2718.56
118.49,2748.86
0.96,2530.66
1.97,1802.36
2.52,1495.34
22.87,1573.16
183.22,2207.73
260.97,2435.73
136.42,2626.86
225.51,2652.55
372.53,2682.85
329.46,2757.62
164.35,2635.64
141.28,2699.52
3.57,2416.72
20.09,1857.42
27.48,1656.38
89.96,1929.22
256.84,2533.06
300.66,2580.52
143.17,2641.32
72.89,2596.33
34.43,2364.64
463.26,2799.7
131.81,2557.91
31,2560.69
13.53,2240.57
141.66,2148.39
24.92,1865.68
50.84,1976.66
83.88,2178.68
211.13,2406.21
78.67,2352.81
300.87,2577.03
121.33,2571.77
154.66,2630.4
117.56,2478.66
48.94,2370.85
24.12,2162.59
32.73,1684.71
1.44,1531.17
226.78,2201.39
171.34,2488.86
361.47,2604.36
274.38,2665.38
107.93,2634.36
290.67,2559.9
279.88,2738.86
170.95,2633.68
22.74,2626.24
8.12,2310.79
33.04,1811.58
18.8,1658.83
59.76,1787.12
227.49,2412.09
227.3,2530.07
95.43,2479.68
240.26,2532.46
76.13,2345.39
394.64,2689.94
131.54,2606.34
5.23,2463.4
4.64,2111.19
84.65,1830.04
90.79,1913.61
81.09,2004.51
147.99,2403.5
257.8,2425.47
204.2,2691.46
181.19,2669.97
47.52,2434.6
446.18,2729.25
85.66,2648.09
49.05,2510.31
16.17,2171.34
2.56,1567.69
21,1500.06
71.47,1907.13
574.76,2682.08
248.59,2637.03
227.26,2717.52
143.64,2654.23
271.86,2619.66
401.1,2752.93
162.97,2666.23
9.15,2602
48.76,2312.46
1.12,1662.16
28.92,1833.93
239.72,2421.94
149.59,2373.06
321.35,2586.41
268.36,2726.95
103.08,2620.98
228.67,2592.32
382.36,2713.29
335.18,2697.64
76.8,2686.15
19.73,2533.06
0.1,1759.56
83.27,2089.23
50.17,1859.8
328.28,2262.56
268.95,2486.18
218.17,2669.33
231.78,2643.89
347.48,2646.55
468.37,2758.99
249.03,2725.46
5.04,2620.25
3.48,2322.64
1.63,1696.13
1.21,1503.05
104.29,1933.59
117.59,2236.76
261.14,2439.35
325.14,2695.92
163.97,2672.54
270.88,2633.83
266.41,2713.98
113.06,2474.6
62.32,2557.31
0.81,2168.4
23.05,1807.57
223.62,2280.89
92.82,2279.84
93.37,2336.2
128.46,2450.31
218.02,2537.06
173.39,2577.27
167.71,2521.71
246.54,2570.36
139.8,2462.75
20.68,2540.83
7.8,2132.42
0,1482.82
40.42,1670.07
67.49,1822.65
170.59,2242.71
212.47,2419.13
229.12,2573.77
95.82,2531.24
153.5,2455.57
85.78,2374.74
274.1,2617.76
23.04,2590.71
19.8,2236.64
0.57,1532.9
26.43,1527.88
78.18,1913.3
125.23,2338.98
227.92,2436.05
197.19,2525.79
114.97,2553.63
178.58,2442.45
304.95,2713.15
293.15,2679.73
87.39,2713.75
9.81,2527.8
68.32,1972.27
10.58,1768.75
79.23,1940.31
114.32,2219.15
173.71,2391.2
138.03,2414.42
143.63,2464.96
142.86,2374.56
188.92,2558.77
151.98,2531.71
74.83,2477.7
3.9,2151.31
8.51,1641.31
33.29,1659
128.52,1960.48
87.12,2418.1
107.03,2325.93
86.64,2424.82
158.63,2425.15
86.96,2304.64
210.53,2561.65
68.54,2401.8
18.19,2291.29
3.05,1852.24
50.04,1672.09
42.97,1794.55
27.99,1731.83
106.02,2163.41
318.37,2419.22
199.9,2541.8
178.17,2542.16
104.38,2470.61
175.61,2570.42
150.64,2540.08
50.32,2416.48
10.92,2118.89
12.8,1587.75
10.87,1564.96
65.14,1728.9
197.64,2431.21
113.26,2368.57
142.89,2439.88
300.58,2587.65
136.55,2497.53
254.2,2672.1
157.08,2593.18
40.29,2633.07
3.63,2242.77
1.93,1643.98
29.61,1750.3
145.19,2113.52
193.78,2476.4
185.96,2492.69
85.19,2474.51
90.14,2426.85
180.51,2406.91
174.58,2569.4
252.93,2677.87
93.53,2732.52
0.97,2388.54
24.48,1849.59
26.7,1721.77
47.58,1806.7
161.55,2237.04
166.33,2414.59
202.69,2510.16
94.68,2464.3
33.09,2309.38
115.34,2338.04
72.9,2210.64
43.71,2145.78
34.13,1924.01
1.32,1399.82
87.02,2012.89
30.66,1715.54
179.19,2256.94
192.48,2423.49
119.24,2428.41
213.33,2583.32
251.83,2614.79
157.51,2705.09
210.41,2600.96
48.18,2597.2
4.23,2218.05
9.97,1671
36.32,1754.21
67.7,1957.2
181.46,2428.91
178.4,2419.76
235.65,2520.5
231.12,2514.86
116.17,2340.28
227.33,2613.11
152.34,2558.55
16.03,2427.82
1.01,1942.06
10.13,1583.25
14.91,1503.18
77.28,1680.65
46.95,2013.83
