,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
1,1,1.1,15.6,0.52,12.01,3.5,6.7,96.1
2,2,0.6,8,0.23,14.78,4.09,7.8,93.5
3,3,1.1,0,0.37,14.55,4.12,11.1,93.2
4,4,6.1,0,0.43,11.57,2.75,14.4,90.7
5,5,3.3,0,0.33,14.29,4.02,16.1,90.7
6,6,7.8,0,0.3,14.62,4.17,14.4,90.7
7,7,6.7,0,0.23,15.05,4.53,16.7,90.4
8,8,5.6,4.5,0.23,15.48,3.69,14.4,90.1
9,9,3.3,0,0.41,10.1,2.96,10,90.1
10,10,2.2,0,0.33,15.34,4.02,16.7,90.1
11,11,8.9,0,0.26,12.22,3.4,17.8,90.1
12,12,4.4,0,0.22,15.72,3.67,14.4,90.1
13,13,5.6,0,0.27,15.8,3.49,15.6,90.1
14,14,3.3,0,0.43,11.32,3.46,17.8,90.1
15,15,3.3,0,0.27,15.63,3.32,13.3,90.1
16,16,1.1,0,0.38,15.77,3.14,17.2,89.8
17,17,3.3,0,0.33,15.73,3.91,14.4,87.3
18,18,2.2,0,0.38,13.97,3.78,11.1,87.3
19,19,2.8,0,0.38,11.35,3.84,15.6,87.3
20,20,3.3,0,0.29,15.76,4.77,20,87.3
21,21,2.2,0,0.23,14.8,3.51,18.9,87.3
22,22,2.2,0,0.22,16.74,4.56,19.4,87.3
23,23,1.7,0,0.18,17.16,4.66,18.9,87.3
24,24,3.3,0,0.21,17.11,4.16,20,87.3
25,25,2.8,0,0.17,17.37,4.22,21.1,87.3
26,26,6.7,0,0.22,17.06,3.48,15.6,87.3
27,27,7.2,0,0.4,13.64,3.5,18.9,87.3
28,28,8.9,0,0.34,17.12,3.69,24.4,87.3
29,29,8.9,0,0.48,13.68,2.76,25,87.3
30,30,6.7,0,0.49,12.79,3.3,24.4,87.3
31,31,5.6,0,0.41,16.86,3.13,23.9,87.3
32,1,5.6,0,0.33,17.46,4.44,22.2,87.3
33,2,6.1,0,0.52,6.31,3.55,22.8,87.3
34,3,4.4,1,0.68,4.31,2.53,21.1,87.6
35,4,5.6,0,0.78,11.75,2.62,17.8,90.1
36,5,5.6,0,0.49,17.99,4.62,20,90.1
37,6,6.7,1.8,0.43,18.12,3.14,15.6,90.1
38,7,7.2,0,0.28,18.57,3.82,17.8,90.1
39,8,6.7,0,0.28,19.1,4.08,18.9,90.1
40,9,6.1,0,0.17,19.5,3.89,21.7,90.1
41,10,7.8,8.5,0.32,18.81,2.87,16.7,90.1
42,11,7.8,9,0.26,19.14,4.63,11.1,90.1
43,12,5.6,29.5,0.18,17.99,3.6,10,90.4
44,13,4.4,0,0.25,18.37,4.59,17.8,92.7
45,14,5.6,0,0.23,19.73,4.79,20,90.1
46,15,6.1,0,0.21,19.8,3.91,19.4,90.1
47,16,5.6,0,0.42,15.2,3.31,21.1,90.1
48,17,6.1,0,0.51,18.64,3.34,21.7,90.1
49,18,6.1,0,0.76,9.18,3.16,22.8,90.1
50,19,6.7,0,0.75,13.14,2.35,21.1,90.1
51,20,7.8,0,0.49,19.47,3.87,22.2,90.1
52,21,11.1,0,0.42,18.95,4.12,22.8,90.1
53,22,7.8,0,0.33,21.2,4.17,23.3,90.1
54,23,6.7,0,0.56,14.78,2.99,22.2,90.4
55,24,5.6,0,0.56,14.95,2.69,21.1,93
56,25,4.4,1,0.77,4.8,2.23,20,93
57,26,8.9,6.5,0.43,21.52,2.81,14.4,93
58,27,5.6,32,0.31,22.07,3.83,11.1,95.8
59,28,6.7,0,0.29,21.71,3.86,16.7,95.8
60,1,4.4,9.5,0.67,3.17,3.61,15.6,95.8
61,2,5.6,0,0.6,4.99,4.19,21.1,95.8
62,3,6.7,2.5,0.39,20.63,3.66,18.9,95.8
63,4,6.7,8.5,0.3,22.67,4.41,16.7,95.8
64,5,7.8,22.5,0.32,22.6,3.08,12.2,95.8
65,6,7.8,0,0.63,4.44,4.98,21.1,100.6
66,7,7.2,0,0.31,23.3,4.68,20,98.3
67,8,8.9,1,0.28,23.38,4.3,23.3,95.8
68,9,7.8,16.5,0.24,21.6,4.74,15.6,96.4
69,10,10,0.2,0.19,23.77,4.83,22.8,101.5
70,11,8.9,0,0.56,15.44,4.1,23.3,101.5
71,12,8.3,0,0.26,23.96,4.62,25.6,101.2
72,13,10,0,0.21,24.28,4.9,25,98.6
73,14,8.9,9.2,0.28,19.26,4.2,14.4,98.9
74,15,9.4,0,0.5,17.61,4.11,24.4,101.5
75,16,7.8,0,0.59,16.7,3.79,25.6,103.2
76,17,10,0,0.37,21.65,3.8,27.8,104.3
77,18,12.2,0,0.42,24.27,3.38,28.9,113.9
78,19,13.3,0.4,0.33,24.71,4.14,26.7,114.8
79,20,11.1,0,0.31,24.92,3.45,28.3,114.8
80,21,11.1,0,0.34,24.83,4.1,30,121.3
81,22,13.3,0,0.34,24.87,3.96,23.3,125.8
82,23,7.8,28.8,0.38,25.12,3.03,17.8,122.1
83,24,7.8,5,0.29,25.38,3.89,20,125.3
84,25,8.9,0,0.31,25.46,3.79,22.2,125.3
85,26,7.8,0,0.44,20.49,4.33,25,118.5
86,27,10,0,0.45,17.27,3.8,27.8,111.1
87,28,11.1,0,0.36,24.93,4.14,28.9,134
88,29,12.2,0,0.31,26.12,3.8,30,144.5
89,30,11.7,0,0.28,25.71,3.7,32.2,181.9
90,31,13.3,0,0.42,24.43,3.55,31.1,205.7
91,1,12.8,0.4,0.61,21.45,3.67,28.9,214.2
92,2,13.3,0.9,0.63,20.05,3.14,30,222.2
93,3,12.2,5.9,0.37,27.19,3.55,30.6,213.7
94,4,11.1,2.3,0.33,26.52,4.2,23.3,212
95,5,11.7,0,0.4,23.93,2.72,28.9,196.1
96,6,11.1,0,0.7,18.93,3.57,28.3,190.4
97,7,12.2,3.8,0.68,9.23,3.98,27.8,189.3
98,8,11.7,0,0.47,12.97,3.83,22.2,198.4
99,9,11.1,8,0.25,28.77,3.81,20,196.1
100,10,10,4.5,0.31,29.45,4.74,17.8,202.9
101,11,8.9,0,0.38,29.33,4.79,23.3,185.3
102,12,8.3,0,0.39,28.88,4.6,27.2,163.8
103,13,12.2,3.5,0.34,28.93,4.06,23.3,158.1
104,14,10,9.5,0.38,27.96,3.96,18.9,152.2
105,15,10,8,0.53,19.15,4.03,20,209.7
106,16,8.9,1.5,0.38,28.7,3.75,21.1,216.5
107,17,11.1,0,0.27,29.59,4.12,25.6,185.9
108,18,11.7,0,0.28,29.56,4.12,27.8,176.8
109,19,10.6,0,0.31,29.02,3.75,30,187.6
110,20,12.2,0,0.29,29.3,4.52,29.4,200.1
111,21,13.3,0,0.22,29.66,4.32,31.1,203.5
112,22,12.2,0,0.29,29.53,4.02,32.2,201.8
113,23,13.3,0,0.28,29.65,4.18,26.7,210.3
114,24,12.2,0,0.31,29.2,3.54,24.4,219.3
115,25,11.7,0,0.45,28.24,4.11,30.6,202.3
116,26,13.3,0,0.24,30.05,3.21,30,193.8
117,27,15.6,0,0.28,28.72,3.55,32.2,209.7
118,28,14.4,0,0.44,26.34,3.29,33.3,227.8
119,29,13.3,0,0.37,28.2,3.52,32.8,255
120,30,15.6,0,0.28,29.76,3.74,34.4,282
121,1,15.6,0,0.22,30.47,3.49,33.3,321.6
122,2,14.4,6,0.32,28.58,3.9,28.9,365.6
123,3,12.2,5.5,0.32,22.44,3.74,30,325.9
124,4,14.4,0,0.24,30.16,3.49,32.2,314.6
125,5,15.6,0,0.25,29.2,4.25,33.3,299
126,6,16.7,0,0.27,30.25,3.91,32.8,313.9
127,7,15.6,0,0.26,30.54,3.77,32.2,330.1
128,8,16.7,0,0.2,31.12,4.23,33.9,384.7
129,9,16.7,0,0.21,31.06,3.99,34.4,413.7
130,10,14.4,2.9,0.29,30.58,3.8,33.3,426.5
131,11,12.2,3,0.34,30.48,3.25,26.7,427.2
132,12,13.3,0.2,0.31,30.63,3.08,31.1,365.6
133,13,16.7,0,0.3,27.87,3.54,33.3,328
134,14,17.8,0,0.29,27.52,3.36,35,343.6
135,15,17.2,0,0.24,29.15,3.96,33.9,435
136,16,18.9,0,0.26,31.15,4.46,36.7,492.4
137,17,17.8,0,0.32,30.99,4.07,35.6,563.9
138,18,16.7,7.5,0.32,31.19,3.95,32.2,619.2
139,19,17.8,0,0.37,31.24,3.11,33.3,629.8
140,20,20,0,0.3,31.44,3.9,36.7,616.4
141,21,16.1,6,0.29,31.3,3.76,26.7,680.1
142,22,15.6,0,0.33,25.47,3.43,32.2,607.9
143,23,16.7,0,0.32,31.53,3.09,34.4,563.2
144,24,20,0,0.27,31.99,4.22,35,551.9
145,25,21.1,0,0.27,31.63,4.22,36.7,576.7
146,26,20,0,0.23,30.44,4.64,33.3,593
147,27,18.9,3.5,0.22,31.86,3.67,35.6,569.6
148,28,16.7,1.3,0.27,31.36,3.61,34.4,584.5
149,29,18.9,0,0.3,30.7,4.07,35.6,590.9
150,30,16.7,0,0.32,31.44,3.29,30,593.7
151,31,17.8,0,0.39,30.89,3.92,33.3,557.6
152,1,16.7,0,0.31,31.17,4.4,32.2,495.9
153,2,15.6,0,0.32,31.38,3.92,34.4,505.1
154,3,20,0,0.31,31.23,3.56,33.9,583.1
155,4,21.1,0.5,0.22,31.97,4.1,34.4,678.7
156,5,20.6,0,0.21,32.1,4.01,33.9,859.1
157,6,21.1,0,0.23,31.94,4.01,33.3,1025.9
158,7,23.3,0,0.21,31.95,3.64,34.4,1174.6
159,8,22.2,0,0.17,31.94,4.13,35,1313.5
160,9,25.6,0,0.24,31.44,3.81,34.4,1458.3
161,10,18.9,3.5,0.33,30.78,3.29,35,1577.3
162,11,20,0,0.39,29.89,3.34,32.2,1562
