,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Maintenance
0,13500,23,46986,Diesel,90,1,0,2000,three,1165,15500
1,13750,23,72937,Diesel,90,1,0,2000,3,1165,15750
2,13950,24,41711,Diesel,90,,0,2000,3,1165,15950
3,14950,26,48000,Diesel,90,0,0,2000,3,1165,16950
4,13750,30,38500,Diesel,90,0,0,2000,3,1170,15750
5,12950,32,61000,Diesel,90,0,0,2000,3,1170,14950
6,16900,27,,Diesel,,,0,2000,3,1245,18900
7,18600,30,75889,,90,1,0,2000,3,1245,20600
8,21500,27,19700,Petrol,192,0,0,1800,3,1185,23500
9,12950,23,71138,Diesel,,,0,1900,3,1105,14950
10,20950,25,31461,Petrol,192,0,0,1800,3,1185,22950
11,19950,22,43610,Petrol,192,0,0,1800,3,1185,21950
12,19600,25,32189,Petrol,192,0,0,1800,3,1185,21600
13,21500,31,23000,Petrol,192,1,0,1800,3,1185,23500
14,22500,32,34131,Petrol,192,1,0,1800,3,1185,24500
15,22000,28,18739,Petrol,,0,0,1800,3,1185,24000
16,22750,30,34000,Petrol,192,1,0,1800,3,1185,24750
17,17950,24,21716,Petrol,110,1,0,1600,3,1105,19950
18,16750,24,25563,Petrol,110,0,0,1600,3,1065,18750
19,16950,30,64359,Petrol,110,1,0,1600,3,1105,18950
20,15950,30,67660,Petrol,110,1,0,1600,3,1105,17950
21,16950,29,43905,,110,0,1,1600,3,1170,18950
22,15950,28,56349,Petrol,110,1,0,1600,3,1120,17950
23,16950,28,32220,Petrol,110,1,0,1600,3,1120,18950
24,16250,29,25813,Petrol,110,1,0,1600,3,1120,18250
25,15950,25,28450,Petrol,110,1,0,1600,3,1120,17950
26,17495,27,34545,,110,1,0,1600,3,1120,19495
27,15750,29,41415,Petrol,110,1,0,1600,3,1120,17750
28,16950,28,44142,Petrol,110,0,0,1600,3,1120,18950
29,17950,30,11090,,110,,0,1600,3,1120,19950
30,12950,29,9750,Petrol,97,1,0,1400,3,1100,14950
31,15750,22,35199,Petrol,97,1,0,1400,3,1100,17750
32,15950,27,29510,Petrol,97,1,0,1400,3,1100,17950
33,14950,,32692,Petrol,97,1,0,1400,3,1100,16950
34,15500,22,41000,Petrol,97,1,0,1400,3,1100,17500
35,15750,26,43000,Petrol,97,0,0,1400,3,1100,17750
36,15950,25,25000,Petrol,97,0,0,1400,3,1100,17950
37,14950,23,10000,Petrol,97,1,0,1400,3,1100,16950
38,15750,32,25329,Petrol,97,1,0,1400,3,1100,17750
39,14750,27,27500,Petrol,97,0,0,1400,3,1100,16750
40,13950,22,49059,Petrol,97,0,0,1400,3,1100,15950
41,16750,27,44068,Petrol,97,1,0,1400,3,1100,18750
42,13950,22,46961,Petrol,97,0,0,1400,3,1100,15950
43,16950,27,110404,Diesel,90,,0,2000,5,1255,18950
44,16950,22,100250,,90,0,0,2000,5,1255,18950
45,19000,23,84000,Diesel,90,,0,2000,5,1270,21000
46,17950,27,79375,Diesel,90,1,0,2000,5,1255,19950
47,15800,22,75048,Petrol,97,1,0,1400,5,1110,17800
48,17950,22,72215,Diesel,90,1,0,2000,5,1255,19950
49,21950,31,64982,Petrol,192,,0,1800,5,1195,23950
50,17950,22,62636,Diesel,90,1,0,2000,5,1255,19950
51,15750,30,57086,Petrol,97,1,0,1400,5,1110,17750
52,20500,26,56000,Petrol,110,1,1,1600,5,1180,22500
53,21950,27,49866,Petrol,192,1,0,1800,5,1195,23950
54,15500,25,49163,Petrol,110,0,1,1600,5,1165,17500
55,13250,,45725,Petrol,110,1,0,1600,5,1075,15250
56,15250,28,43210,Petrol,97,0,0,1400,5,1110,17250
57,15250,26,43000,Petrol,97,0,0,1400,5,1110,17250
58,18950,23,39704,Petrol,110,1,1,1600,5,1180,20950
59,15999,30,38950,Petrol,110,1,0,1600,5,1130,17999
60,14950,22,37400,,97,1,0,1400,5,1110,16950
61,16500,27,37177,Petrol,110,,0,1600,5,1130,18500
62,18750,31,36544,Petrol,110,1,0,1600,5,1130,20750
63,17950,30,33511,Petrol,110,1,0,1600,5,1130,19950
64,17950,27,,Petrol,97,1,0,1400,5,1110,19950
65,16950,26,32181,Petrol,110,1,0,1600,5,1075,18950
