latitude,longitude,brightness
-28.9087,152.3548,504.4
-15.5483,134.6275,500
-14.4032,132.2878,499.9
-28.9069,152.3487,476.9
-29.5197,153.3373,474.8
-29.54,153.3302,471.9
-29.8253,152.0949,469.1
-13.8671,129.8408,464.2
-21.8796,134.6274,464.1
-14.4049,132.2765,464
-21.8375,134.6023,463.1
-29.7337,152.0607,463
-12.7836,130.5065,461.2
-12.8292,142.9811,460.2
-28.9107,152.3431,460.2
-25.5065,150.4634,460.1
-15.5407,134.6382,459.7
-28.9105,152.3062,458
-12.8008,130.519,457.5
-13.9365,129.9103,457.3
-22.6507,150.6952,457.3
-18.1151,144.8161,454.5
-14.4113,132.3007,454.2
-29.751,152.084,454.2
-22.6598,150.6936,453.3
-21.8882,134.6349,452.8
-12.7499,130.9534,452
-29.0291,152.3941,451.7
-29.8187,152.1003,451.5
-29.004,152.5198,451.4
-13.8625,129.7704,450.4
-26.1231,150.3551,450.3
-29.8267,152.1815,446.8
-22.6424,150.6714,446.1
-13.5369,132.1406,445.8
-13.0141,130.2916,445.5
-30.228,152.524,444.8
-21.8909,134.6297,444.2
-29.0397,152.3856,444.1
-29.0807,152.4794,443.2
-29.7519,152.0788,442.6
-16.3641,137.0049,442.5
-13.1702,130.201,441.4
-13.1515,130.7511,441.1
-29.8237,152.0767,440
-13.8758,129.8382,439.3
-29.825,152.1922,439.2
-13.8535,129.769,438.6
-30.0823,152.3578,438.6
-15.5159,134.658,437.5
-13.8834,129.8488,436.9
-12.7915,130.5176,436.9
-28.9996,152.3498,436.3
-28.9905,152.348,435.9
-29.0026,150.7756,435
-19.1659,138.325,434.9
-13.8766,129.7565,434.7
-15.4355,135.5255,434.3
-29.2785,149.4058,434.3
-29.5087,153.3463,433.4
-28.9136,152.2895,432.9
-29.2681,149.3876,432.7
-22.6522,150.705,431.2
-15.4459,135.5334,429.5
-29.0382,152.3959,429.3
-28.9012,152.323,429
-24.3868,128.7786,428.9
-24.3948,128.7758,428.5
-21.7487,134.6426,428.1
-28.9281,152.2753,427.7
-17.1181,143.3483,427.7
-30.1271,152.377,427.4
-28.9981,152.3602,427.1
-22.6515,150.673,427.1
-21.7686,134.6629,426.8
-13.8611,129.7797,426.6
-21.9303,134.5945,426.6
-14.0634,130.786,426.1
-14.2723,129.8958,426
-14.413,132.2894,425.5
-15.4966,126.9743,425.4
-13.8684,129.8315,425.3
-28.9051,152.3604,424.8
-15.0474,129.7779,424.6
-28.9183,152.3569,424.4
-12.6899,131.757,424.3
-19.1752,138.3266,424.1
-24.5011,151.788,424.1
-28.9168,152.2726,423.8
-28.4378,122.6085,423.4
-14.0647,130.7767,423.3
-14.0681,129.8214,423
-19.1767,138.3165,422.8
-15.5393,134.6289,422.6
-25.9554,150.8928,422.2
-15.0461,129.7871,422.1
-16.9836,143.2288,421.7
-29.732,152.0717,421.5
-29.8968,152.1623,421.5
-29.0042,150.7624,420.8
-28.9921,152.3375,420.7
-11.6495,130.751,420.7
-15.6281,131.1867,420.6
-12.6946,142.3094,420.5
-26.9186,153.1165,420.4
-14.292,143.5388,420.4
-12.55,142.2939,420.3
-29.0216,152.3819,420.3
-14.0383,129.7626,419.8
-13.1636,130.8412,419.5
-28.4392,122.6195,419.5
-25.9532,150.876,419.2
-30.2275,152.4901,419.1
-12.7517,130.9698,419
-24.3935,128.7861,418.9
-25.9112,150.8141,418.7
-15.5863,134.7291,418.7
-26.1264,150.3374,418.6
-14.4001,126.7034,418.6
-28.945,152.4075,418.5
-12.7593,130.9767,418
-29.7619,152.0872,418
-31.0784,115.6346,418
-14.6185,131.5892,417.7
-28.4471,122.6069,417.7
-29.8218,152.136,417.4
-37.3387,141.4598,417.1
-15.6545,131.2005,416.6
-21.8487,134.6046,416.6
-15.4346,131.0219,416.5
-14.4694,133.7813,416
-32.1352,146.8511,415.9
-29.8768,152.036,415.8
-30.1256,152.3875,415.6
-14.3591,135.4231,415.6
-29.3152,153.0533,415.4
-30.2172,152.4514,415.2
-28.925,152.2919,415.2
-28.8936,152.3093,415.1
-30.1681,152.2451,415
-29.0307,152.3837,415
-29.9204,152.2024,415
-13.3957,130.9748,414.8
-28.9374,152.3953,414.6
-21.891,134.6191,414.3
-26.1065,153.0692,413.9
-11.858,142.289,413.5
-15.3544,130.2238,413.4
-11.4697,130.8334,413.1
-25.9144,150.8081,413.1
-15.4853,126.9722,412.8
-16.9187,123.0175,412.4
-27.6882,149.9481,412.4
-28.9504,152.4954,412.3
-13.3571,130.87,412.3
-19.5001,143.9635,412.2
-27.6061,148.9918,412.1
-17.0736,143.3015,411.9
-13.3944,130.9656,411.7
-25.5091,150.4707,411.3
-18.1,144.8178,411.1
-15.6466,131.1894,410.9
-12.7492,130.9853,410.8
-29.8169,152.0669,410.6
-12.0555,142.7271,410.6
-16.9193,142.7168,410.5
-18.1095,144.8194,410.4
-15.5497,134.6368,410.4
-16.2162,126.1168,410.2
-14.501,126.7408,410
-11.7428,142.395,410
-18.1134,144.8267,409.7
-16.1338,136.4253,409.6
-21.7799,134.6652,409.6
-16.9927,143.2301,409.6
-13.8744,129.8475,409.4
-13.2107,141.8453,409.1
-28.3049,128.5359,409
-25.9511,150.8997,408.9
-22.6688,150.6921,408.9
-12.7929,130.5078,408.9
-12.7041,131.7488,408.8
-30.0526,152.4118,408.8
-21.9107,134.6395,408.6
-29.8036,152.0625,408.5
-28.4329,122.6154,408.4
-29.7942,152.1825,408.3
-13.6648,131.0433,408.1
-17.1428,142.5493,408.1
-16.1373,136.8568,408
-15.5856,134.6313,408
-30.1584,152.1992,407.9
-12.8551,130.6339,407.8
-28.8974,152.3467,407.8
-28.627,152.5264,407.7
-28.6387,151.9249,407.7
-16.7841,142.1635,407.6
-13.3558,130.8796,407.6
-22.6529,150.6632,407.5
-29.5481,153.3279,407.3
-26.0826,153.0702,407.3
-42.664,145.5632,407.3
-12.9541,130.2746,406.9
-12.7512,130.9439,406.9
-42.6713,145.5778,406.7
-13.0274,141.7406,406.6
-26.1394,153.0748,406.5
-16.1037,136.8608,406.3
-12.5997,132.7958,406.3
-16.1074,136.842,406.2
-15.5145,134.6487,406.1
-28.9529,152.3551,406
-15.5072,134.6086,406
-13.8848,129.8396,405.8
-14.515,126.7631,405.8
-14.1654,129.8695,405.7
-28.9434,152.418,405.6
-13.6731,130.6077,405.4
-12.6959,142.3001,405.3
-25.9163,150.827,405.3
-17.1198,143.3374,405.2
-13.3588,132.3125,404.9
-14.0767,129.8947,404.7
-12.4818,135.6249,404.6
-15.9346,144.5982,404.5
-13.5387,132.1518,404.4
-13.6626,131.0304,404.2
-13.6805,131.01,404
-15.9562,136.5693,404
-12.5486,142.3033,404
-29.8173,152.1798,403.6
-15.4917,134.6069,403.6
-14.7528,126.4203,403.5
-12.6554,131.2903,403.4
-28.9218,152.3089,403.4
-28.9068,152.3665,403.4
-13.3767,132.1269,403.3
-26.1396,153.0625,402.9
-14.705,131.5317,402.7
-12.1069,132.8214,402.6
-16.1035,144.408,402.5
-34.1486,116.3819,402.3
-33.4771,150.9128,402.3
-29.8204,152.1402,402
-29.749,152.0949,402
-29.3244,153.0549,401.9
-18.1225,144.8191,401.8
-16.5903,124.8456,401.8
-22.6022,150.6712,401.6
-34.1465,116.3881,401.5
-13.6718,130.6169,401.5
-29.02,152.3922,401.5
-13.8988,129.8702,401.4
-13.3688,132.3141,401.4
-11.7718,132.703,401.1
-21.7771,134.6812,401
-26.1348,150.3579,400.8
-29.5532,153.2467,400.8
-12.5508,135.6262,400.8
-15.9479,136.5637,400.7
-14.4676,133.8772,400.7
-28.6402,151.9146,400.7
-16.2435,136.194,400.7
-14.4205,132.3079,400.6
-11.3328,132.0233,400.5
-42.6623,145.5755,400.5
-12.6878,142.3026,400.4
-41.5018,147.4946,400.4
-14.4529,129.5528,400.1
-27.0485,126.4311,400.1
-29.7978,152.1783,400.1
-28.8993,152.3348,400.1
-16.2345,136.1926,400.1
-30.2304,152.5102,400
-12.785,130.4967,400
-30.2476,152.4713,399.7
-30.1228,152.3229,399.7
-17.2947,145.1875,399.7
-16.6491,128.6601,399.6
-18.1016,144.8072,399.6
-14.078,129.9042,399.6
-12.8263,130.8223,399.6
-13.0191,130.3636,399.5
-14.3606,135.4113,399.5
-25.5117,150.4561,399.4
-13.3469,132.3225,399.3
-11.5308,130.2671,399.2
-29.7761,152.135,399.2
-16.4577,124.1452,399.2
-26.3713,150.7045,399.1
-14.2907,143.548,398.9
-12.6697,131.688,398.8
